Horse,Category,Starts,1st,2nd,3rd,Win%,Place%,Odds,ROI
Bajaria,Career,6,1,2,2,17%,84%,$4,-33%
Bajaria,12 Mths,6,1,2,2,17%,84%,$4,-33%
Bajaria,Last 10,6,1,2,2,17%,84%,$4,-33%
Bajaria,Good,3,-,1,2,0%,100%,$0,-100%
Bajaria,Soft,2,1,1,-,50%,100%,$4,100%
Bajaria,Heavy,1,-,-,-,0%,0%,$0,-100%
Bajaria,Turf,6,1,2,2,17%,84%,$4,-33%
Bajaria,0 - 1000m,1,-,-,-,0%,0%,$0,-100%
Bajaria,1001 - 1300m,5,1,2,2,20%,100%,$4,-20%
Bajaria,1 - 3,2,1,1,-,50%,100%,$4,100%
Bajaria,4 - 6,2,-,1,1,0%,100%,$0,-100%
Bajaria,7 - 10,2,-,-,1,0%,50%,$0,-100%
Bajaria,$20001 - $35000,1,-,-,1,0%,100%,$0,-100%
Bajaria,$35001 - $75000,5,1,2,1,20%,80%,$4,-20%
Bajaria,55 - 56.5kg,4,1,1,1,25%,75%,$4,-
Bajaria,57 - 58.5kg,2,-,1,1,0%,100%,$0,-100%
Bajaria,6 - 7,1,-,1,-,0%,100%,$0,-100%
Bajaria,8 - 10,4,1,1,2,25%,100%,$4,-
Bajaria,13 - 15,1,-,-,-,0%,0%,$0,-100%
Bajaria,First Up,2,-,1,-,0%,50%,$0,-100%
Bajaria,Second Up,2,-,1,1,0%,100%,$0,-100%
Bajaria,Third Up,1,1,-,-,100%,100%,$4,300%
Rockette Roulette,Career,16,1,-,3,7%,25%,$9,-44%
Rockette Roulette,12 Mths,13,1,-,3,8%,31%,$9,-31%
Rockette Roulette,Last 10,10,-,-,3,0%,30%,$0,-100%
Rockette Roulette,Good,10,1,-,1,10%,20%,$9,-10%
Rockette Roulette,Soft,5,-,-,2,0%,40%,$0,-100%
Rockette Roulette,Heavy,1,-,-,-,0%,0%,$0,-100%
Rockette Roulette,Turf,16,1,-,3,7%,25%,$9,-44%
Rockette Roulette,0 - 1000m,1,-,-,-,0%,0%,$0,-100%
Rockette Roulette,1001 - 1300m,12,1,-,3,9%,34%,$9,-25%
Rockette Roulette,1301 - 1500m,3,-,-,-,0%,0%,$0,-100%
Rockette Roulette,1 - 3,4,-,-,2,0%,50%,$0,-100%
Rockette Roulette,4 - 6,3,-,-,-,0%,0%,$0,-100%
Rockette Roulette,7 - 10,7,1,-,1,15%,29%,$9,29%
Rockette Roulette,11 - 13,1,-,-,-,0%,0%,$0,-100%
Rockette Roulette,17+,1,-,-,-,0%,0%,$0,-100%
Rockette Roulette,$10001 - $20000,2,1,-,-,50%,50%,$9,350%
Rockette Roulette,$20001 - $35000,10,-,-,2,0%,20%,$0,-100%
Rockette Roulette,$35001 - $75000,4,-,-,1,0%,25%,$0,-100%
Rockette Roulette,53 - 54.5kg,3,-,-,-,0%,0%,$0,-100%
Rockette Roulette,55 - 56.5kg,5,-,-,2,0%,40%,$0,-100%
Rockette Roulette,57 - 58.5kg,8,1,-,1,13%,25%,$9,13%
