Horse,Date,Track,Distance,Finish_Pos,Barrier,Weight,Margin,SP,Condition
Bajaria,09-Apr-26,Pakenham,1200m,2/6,,,,,
Bajaria,12-Mar-26,Pakenham,1100m,2/9,,,,,
Bajaria,03-Mar-26,TRIAL Southside Pakenham,800m,2/8,,,,,
Bajaria,17-Feb-26,TRIAL Southside Pakenham,800m,3/6,,,,,
Bajaria,29-Oct-25,Bendigo,1300m,3/9,,,,,
Bajaria,08-Oct-25,Sale,1112m,1/9,,,,,
Bajaria,23-Sep-25,TRIAL Southside Pakenham,800m,1/8,,,,,
Bajaria,22-Aug-25,Geelong,1212m,3/8,,,,,
Bajaria,12-Aug-25,TRIAL Southside Pakenham,800m,3/9,,,,,
Bajaria,13-Jul-25,Bendigo,1000m,4/14,,,,,
Bajaria,01-Jul-25,TRIAL Sportsbet-Pakenham,800m,1/7,,,,,
Bajaria,18-Jun-25,TRIAL Caulfield Heath,800m,2/7,,,,,
Bajaria,28-Jan-25,TRIAL Sportsbet-Pakenham,800m,5/5,,,,,
Rockette Roulette,09-Apr-26,Pakenham,1200m,3/6,,,,,
Rockette Roulette,04-Apr-26,Tocumwal,1300m,7/12,,,,,
Rockette Roulette,24-Mar-26,Yarra Valley,1200m,3/10,,,,,
Rockette Roulette,13-Mar-26,Kyneton,1106m,5/5,,,,,
Rockette Roulette,13-Feb-26,Kilmore,1200m,5/14,,,,,
Rockette Roulette,08-Feb-26,Wangaratta,1400m,6/11,,,,,
Rockette Roulette,31-Jan-26,Kyneton,1203m,7/13,,,,,
Rockette Roulette,22-Jan-26,Cranbourne,1200m,4/7,,,,,
Rockette Roulette,13-Jan-26,Yarra Valley,1200m,12/12,,,,,
Rockette Roulette,27-Dec-25,Kerang,1100m,3/10,,,,,
Rockette Roulette,13-Dec-25,Moulamein,1200m,1/7,,,,,
Rockette Roulette,23-Nov-25,Kilmore,1450m,7/9,,,,,
Rockette Roulette,18-Nov-25,Kyneton,1115m,7/7,,,,,
Rockette Roulette,14-Nov-25,TRIAL bet365 Seymour,800m,6/7,,,,,
Rockette Roulette,14-Oct-25,TRIAL bet365 Seymour,800m,4/6,,,,,
Rockette Roulette,22-Jul-24,Seymour,1200m,9/12,,,,,
Rockette Roulette,06-Jul-24,Wangaratta,1400m,13/14,,,,,
Rockette Roulette,20-Jun-24,Wangaratta,1000m,10/11,,,,,
Rockette Roulette,03-Jun-24,TRIAL Wangaratta,900m,6/8,,,,,
Neziha,09-Apr-26,Pakenham,1200m,4/6,,,,,
Neziha,27-Mar-26,TRIAL Picklebet Park Werribee,800m,1/6,,,,,
Neziha,20-Mar-26,TRIAL Flemington,800m,7/8,,,,,
Neziha,02-Dec-25,Donald,1350m,1/11,,,,,
Neziha,14-Nov-25,Geelong,1207m,2/11,,,,,
Neziha,30-Oct-25,TRIAL Caulfield Heath,800m,2/9,,,,,
Neziha,10-Oct-25,TRIAL Flemington,800m,3/5,,,,,
Neziha,25-Sep-25,TRIAL Flemington,800m,4/5,,,,,
Neziha,30-May-25,TRIAL Flemington,800m,1/6,,,,,
Neziha,19-May-25,TRIAL Picklebet Park Werribee,800m,4/6,,,,,
Humble Trader,09-Apr-26,Pakenham,1200m,1/6,,,,,
Humble Trader,16-Mar-26,TRIAL Southside Cranbourne,1000m,4/10,,,,,
Humble Trader,09-Mar-26,TRIAL Southside Cranbourne,1000m,2/9,,,,,
Humble Trader,25-Feb-26,TRIAL Caulfield Heath,800m,3/8,,,,,
Humble Trader,03-Sep-25,Sandown Hillside,1300m,4/7,,,,,
Humble Trader,20-Aug-25,Sandown Lakeside,1200m,1/11,,,,,
Humble Trader,28-Jul-25,TRIAL Cranbourne-Syn,1000m,1/5,,,,,
Humble Trader,14-Jul-25,TRIAL Cranbourne-Syn,760m,1/6,,,,,
Humble Trader,30-Jun-25,TRIAL Cranbourne,650m,1/8,,,,,
Mortlake,09-Apr-26,Gosford,2100m,1/7,,,,,
Mortlake,24-Mar-26,Port Macquarie,1800m,2/8,,,,,
Mortlake,10-Mar-26,Taree,1600m,8/11,,,,,
Mortlake,13-Feb-26,Taree,1614m,3/9,,,,,
Mortlake,23-Jan-26,Canterbury,1900m,7/10,,,,,
Mortlake,07-Jan-26,Warwick Farm,1600m,9/10,,,,,
Mortlake,30-Dec-25,TRIAL Randwick,1050m,7/8,,,,,
Mortlake,15-Dec-25,TRIAL Hawkesbury,800m,9/9,,,,,
Mortlake,08-Aug-25,Canberra Acton,1900m,3/8,,,,,
Mortlake,23-Jul-25,Canterbury,1550m,6/9,,,,,
Mortlake,05-Jul-25,Rosehill Gardens,1400m,12/13,,,,,
Mortlake,11-Jun-25,Kensington,1400m,5/9,,,,,
Mortlake,29-May-25,TRIAL Rosehill Gardens,1030m,4/8,,,,,
Mortlake,09-May-25,TRIAL Rosehill Gardens,1030m,9/10,,,,,
Mortlake,24-Apr-25,TRIAL Randwick,1045m,9/10,,,,,
Mortlake,24-Oct-24,Kempton,1610m,4/14,,,,,
Mortlake,01-Aug-24,Goodwood,1990m,10/10,,,,,
Mortlake,26-Jun-24,Salisbury,1610m,3/6,,,,,
Mortlake,15-May-24,York,1410m,11/15,,,,,
Mortlake,02-Sep-23,Sandown,1410m,5/6,,,,,
Mortlake,02-Sep-23,Sandown Park,1408m,5/6,,,,,
Mortlake,13-Aug-23,Leicester,1410m,1/8,,,,,
Mortlake,16-Jul-23,Salisbury,1400m,6/9,,,,,
Rita's Pearl,09-Apr-26,Gosford,2100m,2/7,,,,,
Rita's Pearl,28-Mar-26,Wyong,2100m,2/7,,,,,
Rita's Pearl,06-Mar-26,Newcastle,2300m,4/9,,,,,
Rita's Pearl,21-Feb-26,Wyong,2125m,2/8,,,,,
Rita's Pearl,11-Feb-26,Gosford,1600m,7/7,,,,,
Rita's Pearl,03-Feb-26,TRIAL Warwick Farm,1200m,8/9,,,,,
Rita's Pearl,16-Oct-25,Goulburn,2140m,1/7,,,,,
Rita's Pearl,09-Oct-25,Orange,2100m,4/9,,,,,
